zipcode,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
98119,2,1.0,1.0,1.0,114.0,95.0
98109,3,1.0,1.0,1.0,110.0,98.0
98119,5,2.0,2.0,4.0,300.0,100.0
98119,2,1.0,1.0,1.0,117.0,97.0
98119,4,1.0,2.0,2.0,275.0,99.0
98109,2,1.5,1.0,1.0,85.0,98.0
98119,2,1.0,1.0,1.0,53.0,96.0
98119,4,1.0,2.0,2.0,107.0,94.0
98119,6,2.0,2.0,2.0,348.0,100.0
98119,4,1.0,2.0,3.0,89.0,94.0
98119,7,1.0,3.0,3.0,89.0,99.0
98119,2,1.0,1.0,1.0,89.0,98.0
98119,2,1.0,1.0,1.0,76.0,95.0
98119,4,1.0,2.0,2.0,74.0,89.0
98109,4,1.0,2.0,2.0,180.0,94.0
98119,5,1.0,2.0,2.0,179.0,97.0
98119,4,1.0,2.0,3.0,115.0,95.0
98109,5,1.0,2.0,2.0,140.0,97.0
98119,4,1.5,2.0,4.0,150.0,100.0
98109,3,1.0,1.0,2.0,70.0,92.0
98109,6,2.0,3.0,3.0,300.0,83.0
98119,1,1.0,1.0,1.0,99.0,100.0
98109,4,1.0,2.0,2.0,89.0,100.0
98119,2,1.5,1.0,1.0,84.0,93.0
98119,3,1.0,1.0,1.0,97.0,98.0
98119,4,1.0,2.0,2.0,116.0,100.0
98119,2,1.0,1.0,1.0,150.0,96.0
98119,4,1.0,2.0,2.0,110.0,97.0
98109,8,2.5,3.0,4.0,265.0,95.0
98119,6,1.0,2.0,2.0,115.0,88.0
98115,2,1.0,1.0,1.0,109.0,98.0
98103,2,1.5,1.0,1.0,60.0,86.0
98103,6,3.0,3.0,3.0,249.0,93.0
98103,7,3.0,3.0,3.0,250.0,100.0
98115,4,2.0,3.0,1.0,100.0,91.0
98115,2,1.0,0.0,1.0,74.0,100.0
98115,4,1.0,2.0,2.0,235.0,100.0
98103,5,1.0,2.0,2.0,99.0,95.0
98103,3,1.0,1.0,1.0,96.0,92.0
98103,4,1.0,1.0,2.0,92.0,94.0
98103,4,1.0,1.0,2.0,85.0,97.0
98115,4,1.0,1.0,2.0,55.0,96.0
98115,4,1.0,1.0,1.0,55.0,92.0
98115,2,1.0,1.0,1.0,80.0,80.0
98103,6,1.0,2.0,3.0,145.0,97.0
98103,4,1.0,2.0,2.0,180.0,100.0
98115,5,1.0,2.0,3.0,140.0,100.0
98103,2,1.0,1.0,1.0,140.0,97.0
98115,2,1.0,1.0,1.0,40.0,97.0
98103,2,1.0,1.0,1.0,145.0,100.0
98103,4,1.0,2.0,2.0,225.0,94.0
98103,4,1.0,2.0,2.0,175.0,96.0
98103,12,3.0,6.0,6.0,550.0,100.0
98115,2,1.0,1.0,1.0,130.0,100.0
98115,4,1.0,3.0,3.0,300.0,100.0
98103,6,1.5,3.0,3.0,79.0,97.0
98115,2,1.0,1.0,1.0,59.0,89.0
98115,2,1.0,1.0,1.0,140.0,95.0
98103,2,1.5,1.0,1.0,60.0,97.0
98115,5,1.5,2.0,2.0,100.0,98.0
98103,2,1.5,1.0,1.0,40.0,96.0
98103,4,1.0,1.0,2.0,99.0,93.0
98103,2,1.5,1.0,1.0,45.0,93.0
98103,3,1.0,1.0,2.0,75.0,98.0
98103,2,1.0,0.0,1.0,119.0,96.0
98103,2,1.0,1.0,2.0,99.0,80.0
98115,6,1.0,3.0,3.0,225.0,90.0
98115,2,1.0,1.0,1.0,85.0,100.0
98115,6,1.5,3.0,3.0,335.0,98.0
98115,2,1.0,1.0,1.0,79.0,100.0
98103,2,1.0,1.0,1.0,90.0,96.0
98103,2,1.5,1.0,1.0,111.0,94.0
98103,4,1.0,1.0,2.0,110.0,88.0
98103,8,2.0,3.0,2.0,325.0,93.0
98109,2,1.0,1.0,1.0,85.0,100.0
98109,2,1.0,1.0,1.0,190.0,100.0
98109,5,2.0,2.0,2.0,400.0,76.0
98109,4,1.0,1.0,2.0,141.0,94.0
98109,2,1.0,0.0,1.0,85.0,100.0
98109,8,4.0,4.0,6.0,775.0,98.0
98109,2,1.0,1.0,1.0,95.0,97.0
98109,3,1.0,1.0,1.0,122.0,100.0
98109,4,1.0,2.0,2.0,170.0,100.0
98109,2,1.0,1.0,1.0,65.0,100.0
98122,2,1.0,1.0,1.0,88.0,98.0
98122,5,1.0,2.0,2.0,125.0,95.0
98112,5,2.0,2.0,2.0,145.0,93.0
98122,6,3.5,3.0,3.0,275.0,100.0
98122,1,1.0,1.0,1.0,60.0,94.0
